time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20201101:1911,0.0,0.0,0.0,0.0,0.0,13.61,3.79,0.0
20201101:2011,0.0,0.0,0.0,0.0,0.0,13.87,3.79,0.0
20201101:2111,0.0,0.0,0.0,0.0,0.0,14.18,3.72,0.0
20201101:2211,0.0,0.0,0.0,0.0,0.0,14.49,3.79,0.0
20201101:2311,0.0,0.0,0.0,0.0,0.0,14.62,3.66,0.0
20201102:0011,0.0,0.0,0.0,0.0,0.0,14.76,3.59,0.0
20201102:0111,0.0,0.0,0.0,0.0,0.0,14.77,3.79,0.0
20201102:0211,0.0,0.0,0.0,0.0,0.0,14.92,4.0,0.0
20201102:0311,0.0,0.0,0.0,0.0,0.0,14.84,4.07,0.0
20201102:0411,0.0,0.0,0.0,0.0,0.0,14.79,3.93,0.0
20201102:0511,0.0,0.0,0.0,0.0,0.0,14.84,4.14,0.0
20201102:0611,0.0,0.0,0.0,0.0,0.0,14.98,4.28,0.0
20201102:0711,64.4,0.0,30.0,0.0,7.97,15.01,4.21,0.0
20201102:0811,277.78,4.0,87.0,0.0,14.57,15.39,4.0,0.0
20201102:0911,361.4,2.0,111.0,0.0,19.48,16.01,4.0,0.0
20201102:1011,954.68,118.0,156.0,0.0,22.27,16.85,4.14,0.0
20201102:1111,1148.22,221.01,109.0,0.0,22.64,17.73,4.41,0.0
20201102:1211,574.83,22.0,150.0,0.0,20.54,18.8,4.69,0.0
20201102:1311,568.71,60.0,117.0,0.0,16.22,19.41,4.9,0.0
20201102:1411,212.4,11.0,66.0,0.0,10.08,19.28,4.76,0.0
20201102:1511,0.0,0.0,4.0,0.0,2.58,18.72,4.34,0.0
20201102:1611,0.0,0.0,0.0,0.0,0.0,18.16,3.79,0.0
20201102:1711,0.0,0.0,0.0,0.0,0.0,17.87,3.66,0.0
20201102:1811,0.0,0.0,0.0,0.0,0.0,17.85,3.79,0.0
20201102:1911,0.0,0.0,0.0,0.0,0.0,17.78,4.0,0.0
20201102:2011,0.0,0.0,0.0,0.0,0.0,17.69,4.07,0.0
20201102:2111,0.0,0.0,0.0,0.0,0.0,17.57,4.21,0.0
20201102:2211,0.0,0.0,0.0,0.0,0.0,17.47,4.21,0.0
20201102:2311,0.0,0.0,0.0,0.0,0.0,17.58,4.21,0.0
20201103:0011,0.0,0.0,0.0,0.0,0.0,17.07,4.69,0.0
20201103:0111,0.0,0.0,0.0,0.0,0.0,15.59,4.07,0.0
20201103:0211,0.0,0.0,0.0,0.0,0.0,14.56,3.72,0.0
20201103:0311,0.0,0.0,0.0,0.0,0.0,13.75,3.86,0.0
20201103:0411,0.0,0.0,0.0,0.0,0.0,12.64,3.72,0.0
20201103:0511,0.0,0.0,0.0,0.0,0.0,11.65,3.59,0.0
20201103:0611,0.0,0.0,0.0,0.0,0.0,10.92,3.45,0.0
20201103:0711,197.42,32.0,48.0,0.0,7.7,10.84,3.24,0.0
20201103:0811,456.16,34.0,107.0,0.0,14.27,11.41,2.97,0.0
20201103:0911,523.26,15.0,139.0,0.0,19.17,12.16,3.93,0.0
20201103:1011,1176.34,226.01,106.0,0.0,21.95,12.57,3.93,0.0
20201103:1111,1251.86,268.01,86.0,0.0,22.32,12.92,3.38,0.0
20201103:1211,1044.5,202.01,100.0,0.0,20.24,13.12,2.9,0.0
20201103:1311,724.28,138.01,86.0,0.0,15.93,13.12,2.41,0.0
20201103:1411,276.3,29.0,69.0,0.0,9.8,12.88,1.86,0.0
20201103:1511,0.0,0.0,3.0,0.0,2.32,12.27,1.45,0.0
20201103:1611,0.0,0.0,0.0,0.0,0.0,11.61,1.45,0.0
20201103:1711,0.0,0.0,0.0,0.0,0.0,11.11,1.52,0.0
20201103:1811,0.0,0.0,0.0,0.0,0.0,10.48,1.72,0.0
20201103:1911,0.0,0.0,0.0,0.0,0.0,10.04,1.59,0.0
20201103:2011,0.0,0.0,0.0,0.0,0.0,10.03,1.79,0.0
20201103:2111,0.0,0.0,0.0,0.0,0.0,10.13,2.0,0.0
20201103:2211,0.0,0.0,0.0,0.0,0.0,10.03,2.34,0.0
20201103:2311,0.0,0.0,0.0,0.0,0.0,10.05,2.76,0.0
20201104:0011,0.0,0.0,0.0,0.0,0.0,10.14,3.17,0.0
20201104:0111,0.0,0.0,0.0,0.0,0.0,9.75,3.1,0.0
20201104:0211,0.0,0.0,0.0,0.0,0.0,9.22,2.97,0.0
20201104:0311,0.0,0.0,0.0,0.0,0.0,8.6,2.83,0.0
20201104:0411,0.0,0.0,0.0,0.0,0.0,7.9,2.83,0.0
20201104:0511,0.0,0.0,0.0,0.0,0.0,7.25,2.9,0.0
20201104:0611,0.0,0.0,0.0,0.0,0.0,6.75,2.9,0.0
20201104:0711,210.92,54.0,38.0,0.0,7.42,7.04,3.31,0.0
20201104:0811,662.9,152.01,60.0,0.0,13.98,7.98,2.9,0.0
20201104:0911,1020.56,213.01,81.0,0.0,18.87,8.91,4.07,0.0
20201104:1011,1221.57,247.01,94.0,0.0,21.64,9.66,4.14,0.0
20201104:1111,1268.46,268.01,86.0,0.0,22.01,10.49,4.55,0.0
20201104:1211,763.96,58.0,159.0,0.0,19.94,10.85,4.48,0.0
20201104:1311,589.36,59.0,118.0,0.0,15.64,11.08,4.21,0.0
20201104:1411,262.84,26.0,67.0,0.0,9.53,10.98,3.45,0.0
20201104:1511,0.0,0.0,3.0,0.0,2.07,10.39,2.41,0.0
20201104:1611,0.0,0.0,0.0,0.0,0.0,9.6,2.14,0.0
20201104:1711,0.0,0.0,0.0,0.0,0.0,9.13,2.14,0.0
20201104:1811,0.0,0.0,0.0,0.0,0.0,8.5,2.14,0.0
20201104:1911,0.0,0.0,0.0,0.0,0.0,8.23,2.34,0.0
20201104:2011,0.0,0.0,0.0,0.0,0.0,8.07,2.34,0.0
20201104:2111,0.0,0.0,0.0,0.0,0.0,7.84,2.34,0.0
20201104:2211,0.0,0.0,0.0,0.0,0.0,7.37,2.48,0.0
20201104:2311,0.0,0.0,0.0,0.0,0.0,6.98,2.55,0.0
20201105:0011,0.0,0.0,0.0,0.0,0.0,6.74,2.48,0.0
20201105:0111,0.0,0.0,0.0,0.0,0.0,6.15,2.62,0.0
20201105:0211,0.0,0.0,0.0,0.0,0.0,5.79,2.62,0.0
20201105:0311,0.0,0.0,0.0,0.0,0.0,5.36,2.55,0.0
20201105:0411,0.0,0.0,0.0,0.0,0.0,5.06,2.62,0.0
20201105:0511,0.0,0.0,0.0,0.0,0.0,4.82,2.62,0.0
20201105:0611,0.0,0.0,0.0,0.0,0.0,4.62,2.62,0.0
20201105:0711,184.64,30.0,45.0,0.0,7.15,4.31,2.55,0.0
20201105:0811,617.22,130.01,66.0,0.0,13.7,5.59,2.41,0.0
20201105:0911,1006.83,214.01,76.0,0.0,18.57,7.23,3.38,0.0
20201105:1011,1220.18,259.01,82.0,0.0,21.34,8.43,3.45,0.0
20201105:1111,1235.07,258.01,87.0,0.0,21.71,9.45,3.72,0.0
20201105:1211,937.62,139.01,128.0,0.0,19.64,10.16,3.72,0.0
20201105:1311,671.54,109.01,96.0,0.0,15.36,10.44,3.79,0.0
20201105:1411,203.26,10.0,62.0,0.0,9.27,10.17,3.31,0.0
20201105:1511,0.0,0.0,1.0,0.0,1.82,9.62,2.83,0.0
20201105:1611,0.0,0.0,0.0,0.0,0.0,8.95,2.97,0.0
20201105:1711,0.0,0.0,0.0,0.0,0.0,8.52,3.1,0.0
20201105:1811,0.0,0.0,0.0,0.0,0.0,8.31,3.38,0.0
20201105:1911,0.0,0.0,0.0,0.0,0.0,8.24,3.45,0.0
20201105:2011,0.0,0.0,0.0,0.0,0.0,8.11,3.52,0.0
20201105:2111,0.0,0.0,0.0,0.0,0.0,8.06,3.52,0.0
20201105:2211,0.0,0.0,0.0,0.0,0.0,8.3,3.66,0.0
20201105:2311,0.0,0.0,0.0,0.0,0.0,8.48,3.66,0.0
20201106:0011,0.0,0.0,0.0,0.0,0.0,8.58,3.45,0.0
20201106:0111,0.0,0.0,0.0,0.0,0.0,8.69,3.24,0.0
20201106:0211,0.0,0.0,0.0,0.0,0.0,8.81,2.97,0.0
20201106:0311,0.0,0.0,0.0,0.0,0.0,8.88,2.83,0.0
20201106:0411,0.0,0.0,0.0,0.0,0.0,8.95,2.83,0.0
20201106:0511,0.0,0.0,0.0,0.0,0.0,9.01,2.9,0.0
20201106:0611,0.0,0.0,0.0,0.0,0.0,9.02,2.76,0.0
20201106:0711,47.43,0.0,24.0,0.0,6.88,8.8,2.62,0.0
20201106:0811,204.26,1.0,68.0,0.0,13.41,9.27,2.62,0.0
20201106:0911,120.69,0.0,46.0,0.0,18.27,9.94,3.24,0.0
20201106:1011,141.52,0.0,52.0,0.0,21.03,10.62,2.9,0.0
20201106:1111,170.19,0.0,60.0,0.0,21.41,10.88,2.62,0.0
20201106:1211,243.99,0.0,80.0,0.0,19.35,11.21,2.48,0.0
20201106:1311,112.82,0.0,44.0,0.0,15.09,11.26,2.41,0.0
20201106:1411,65.7,0.0,30.0,0.0,9.01,11.26,2.34,0.0
20201106:1511,0.0,0.0,1.0,0.0,1.57,11.0,1.72,0.0
20201106:1611,0.0,0.0,0.0,0.0,0.0,10.48,1.52,0.0
20201106:1711,0.0,0.0,0.0,0.0,0.0,9.85,1.52,0.0
20201106:1811,0.0,0.0,0.0,0.0,0.0,9.39,1.38,0.0
20201106:1911,0.0,0.0,0.0,0.0,0.0,9.36,1.17,0.0
20201106:2011,0.0,0.0,0.0,0.0,0.0,9.32,1.24,0.0
20201106:2111,0.0,0.0,0.0,0.0,0.0,9.22,1.24,0.0
20201106:2211,0.0,0.0,0.0,0.0,0.0,9.01,1.17,0.0
20201106:2311,0.0,0.0,0.0,0.0,0.0,9.04,1.1,0.0
20201107:0011,0.0,0.0,0.0,0.0,0.0,8.92,1.31,0.0
20201107:0111,0.0,0.0,0.0,0.0,0.0,8.8,1.59,0.0
20201107:0211,0.0,0.0,0.0,0.0,0.0,8.52,1.79,0.0
20201107:0311,0.0,0.0,0.0,0.0,0.0,8.32,2.0,0.0
20201107:0411,0.0,0.0,0.0,0.0,0.0,7.99,1.72,0.0
20201107:0511,0.0,0.0,0.0,0.0,0.0,7.67,1.72,0.0
20201107:0611,0.0,0.0,0.0,0.0,0.0,7.42,1.86,0.0
20201107:0711,72.4,1.0,31.0,0.0,6.61,6.85,1.93,0.0
20201107:0811,325.71,10.0,92.0,0.0,13.13,7.52,2.28,0.0
20201107:0911,794.56,100.0,129.0,0.0,17.98,8.25,2.34,0.0
20201107:1011,1173.96,251.01,82.0,0.0,20.73,9.13,2.14,0.0
20201107:1111,1218.02,268.01,78.0,0.0,21.11,10.13,2.07,0.0
20201107:1211,1014.62,210.01,86.0,0.0,19.06,10.96,2.07,0.0
20201107:1311,676.58,135.01,78.0,0.0,14.81,11.32,2.14,0.0
20201107:1411,284.58,73.01,43.0,0.0,8.76,11.05,1.72,0.0
20201107:1511,0.0,0.0,0.0,0.0,0.0,10.02,2.0,0.0
20201107:1611,0.0,0.0,0.0,0.0,0.0,8.5,2.14,0.0
20201107:1711,0.0,0.0,0.0,0.0,0.0,7.14,2.07,0.0
20201107:1811,0.0,0.0,0.0,0.0,0.0,5.79,2.0,0.0
20201107:1911,0.0,0.0,0.0,0.0,0.0,4.83,2.07,0.0
20201107:2011,0.0,0.0,0.0,0.0,0.0,4.3,1.86,0.0
20201107:2111,0.0,0.0,0.0,0.0,0.0,3.78,1.86,0.0
20201107:2211,0.0,0.0,0.0,0.0,0.0,3.24,1.86,0.0
20201107:2311,0.0,0.0,0.0,0.0,0.0,3.85,1.38,0.0
20201108:0011,0.0,0.0,0.0,0.0,0.0,5.29,0.83,0.0
20201108:0111,0.0,0.0,0.0,0.0,0.0,5.1,0.55,0.0
20201108:0211,0.0,0.0,0.0,0.0,0.0,4.78,0.9,0.0
20201108:0311,0.0,0.0,0.0,0.0,0.0,4.45,0.9,0.0
20201108:0411,0.0,0.0,0.0,0.0,0.0,4.22,0.83,0.0
20201108:0511,0.0,0.0,0.0,0.0,0.0,2.87,1.03,0.0
20201108:0611,0.0,0.0,0.0,0.0,0.0,2.29,0.76,0.0
20201108:0711,142.42,20.0,40.0,0.0,6.34,2.3,1.1,0.0
20201108:0811,540.63,104.01,70.0,0.0,12.85,3.6,0.34,0.0
20201108:0911,913.95,189.01,78.0,0.0,17.69,4.81,0.48,0.0
20201108:1011,1142.32,245.01,79.0,0.0,20.44,6.48,0.69,0.0
20201108:1111,1199.43,271.01,70.0,0.0,20.82,7.88,0.9,0.0
20201108:1211,1015.74,224.01,73.0,0.0,18.78,8.92,1.1,0.0
20201108:1311,660.42,138.01,71.0,0.0,14.55,9.37,1.31,0.0
20201108:1411,267.93,68.01,42.0,0.0,8.51,9.23,1.59,0.0
20201108:1511,0.0,0.0,0.0,0.0,0.0,8.4,1.79,0.0
20201108:1611,0.0,0.0,0.0,0.0,0.0,7.26,2.0,0.0
20201108:1711,0.0,0.0,0.0,0.0,0.0,6.53,2.07,0.0
20201108:1811,0.0,0.0,0.0,0.0,0.0,6.08,2.07,0.0
20201108:1911,0.0,0.0,0.0,0.0,0.0,5.86,2.28,0.0
20201108:2011,0.0,0.0,0.0,0.0,0.0,5.7,2.34,0.0
20201108:2111,0.0,0.0,0.0,0.0,0.0,5.6,2.41,0.0
20201108:2211,0.0,0.0,0.0,0.0,0.0,5.51,2.48,0.0
20201108:2311,0.0,0.0,0.0,0.0,0.0,5.37,2.55,0.0
20201109:0011,0.0,0.0,0.0,0.0,0.0,5.23,2.41,0.0
20201109:0111,0.0,0.0,0.0,0.0,0.0,5.02,2.48,0.0
20201109:0211,0.0,0.0,0.0,0.0,0.0,4.86,2.62,0.0
20201109:0311,0.0,0.0,0.0,0.0,0.0,4.69,2.69,0.0
20201109:0411,0.0,0.0,0.0,0.0,0.0,4.63,2.69,0.0
20201109:0511,0.0,0.0,0.0,0.0,0.0,4.72,2.62,0.0
20201109:0611,0.0,0.0,0.0,0.0,0.0,4.81,2.69,0.0
20201109:0711,30.15,0.0,18.0,0.0,6.08,5.14,2.9,0.0
20201109:0811,152.64,0.0,54.0,0.0,12.58,5.47,2.97,0.0
20201109:0911,351.14,2.0,104.0,0.0,17.4,5.9,2.9,0.0
20201109:1011,253.62,0.0,81.0,0.0,20.15,6.52,2.9,0.0
20201109:1111,420.44,2.0,122.0,0.0,20.53,7.04,2.9,0.0
20201109:1211,63.81,0.0,29.0,0.0,18.5,7.38,2.83,0.0
20201109:1311,624.06,110.01,84.0,0.0,14.29,7.82,2.9,0.0
20201109:1411,8.73,0.0,10.0,0.0,8.27,7.84,2.9,0.0
20201109:1511,0.0,0.0,0.0,0.0,0.0,7.58,2.48,0.0
20201109:1611,0.0,0.0,0.0,0.0,0.0,7.23,2.34,0.0
20201109:1711,0.0,0.0,0.0,0.0,0.0,6.74,2.41,0.0
20201109:1811,0.0,0.0,0.0,0.0,0.0,6.43,2.41,0.0
20201109:1911,0.0,0.0,0.0,0.0,0.0,5.95,2.41,0.0
20201109:2011,0.0,0.0,0.0,0.0,0.0,5.91,2.48,0.0
20201109:2111,0.0,0.0,0.0,0.0,0.0,5.82,2.48,0.0
20201109:2211,0.0,0.0,0.0,0.0,0.0,5.55,2.48,0.0
20201109:2311,0.0,0.0,0.0,0.0,0.0,5.45,2.62,0.0
20201110:0011,0.0,0.0,0.0,0.0,0.0,5.42,2.69,0.0
20201110:0111,0.0,0.0,0.0,0.0,0.0,5.28,2.69,0.0
20201110:0211,0.0,0.0,0.0,0.0,0.0,5.32,2.76,0.0
20201110:0311,0.0,0.0,0.0,0.0,0.0,5.11,2.62,0.0
20201110:0411,0.0,0.0,0.0,0.0,0.0,5.21,2.69,0.0
20201110:0511,0.0,0.0,0.0,0.0,0.0,5.11,2.62,0.0
20201110:0611,0.0,0.0,0.0,0.0,0.0,5.21,2.62,0.0
20201110:0711,33.12,0.0,19.0,0.0,5.82,5.15,2.83,0.0
20201110:0811,134.37,0.0,49.0,0.0,12.3,5.38,2.83,0.0
20201110:0911,105.48,0.0,41.0,0.0,17.12,5.71,2.69,0.0
20201110:1011,130.18,0.0,48.0,0.0,19.86,6.22,2.76,0.0
20201110:1111,119.12,0.0,45.0,0.0,20.25,6.65,2.69,0.0
20201110:1211,97.78,0.0,39.0,0.0,18.23,6.95,2.62,0.0
20201110:1311,70.47,0.0,31.0,0.0,14.03,7.15,2.55,0.0
20201110:1411,29.79,0.0,18.0,0.0,8.03,7.18,2.55,0.0
20201110:1511,0.0,0.0,0.0,0.0,0.0,6.97,2.55,0.0
20201110:1611,0.0,0.0,0.0,0.0,0.0,6.78,2.34,0.0
20201110:1711,0.0,0.0,0.0,0.0,0.0,6.66,2.62,0.0
20201110:1811,0.0,0.0,0.0,0.0,0.0,6.55,2.62,0.0
20201110:1911,0.0,0.0,0.0,0.0,0.0,6.07,1.86,0.0
20201110:2011,0.0,0.0,0.0,0.0,0.0,6.14,1.86,0.0
20201110:2111,0.0,0.0,0.0,0.0,0.0,6.21,1.79,0.0
20201110:2211,0.0,0.0,0.0,0.0,0.0,6.28,1.66,0.0
20201110:2311,0.0,0.0,0.0,0.0,0.0,6.27,1.59,0.0
20201111:0011,0.0,0.0,0.0,0.0,0.0,6.22,1.66,0.0
20201111:0111,0.0,0.0,0.0,0.0,0.0,5.99,1.72,0.0
20201111:0211,0.0,0.0,0.0,0.0,0.0,5.9,1.72,0.0
20201111:0311,0.0,0.0,0.0,0.0,0.0,5.7,1.59,0.0
20201111:0411,0.0,0.0,0.0,0.0,0.0,5.21,1.59,0.0
20201111:0511,0.0,0.0,0.0,0.0,0.0,5.14,1.59,0.0
20201111:0611,0.0,0.0,0.0,0.0,0.0,4.78,1.66,0.0
20201111:0711,0.0,0.0,5.0,0.0,5.56,5.41,1.79,0.0
20201111:0811,188.68,1.0,63.0,0.0,12.03,5.77,2.14,0.0
20201111:0911,196.65,0.0,66.0,0.0,16.84,6.19,2.14,0.0
20201111:1011,177.52,0.0,61.0,0.0,19.58,6.54,1.79,0.0
20201111:1111,158.72,0.0,56.0,0.0,19.97,6.89,1.59,0.0
20201111:1211,118.71,0.0,45.0,0.0,17.97,7.14,1.52,0.0
20201111:1311,210.38,0.0,70.0,0.0,13.78,7.39,1.59,0.0
20201111:1411,13.54,0.0,12.0,0.0,7.8,7.42,2.0,0.0
20201111:1511,0.0,0.0,0.0,0.0,0.0,7.33,1.86,0.0
20201111:1611,0.0,0.0,0.0,0.0,0.0,7.12,1.31,0.0
20201111:1711,0.0,0.0,0.0,0.0,0.0,6.95,1.1,0.0
20201111:1811,0.0,0.0,0.0,0.0,0.0,6.85,1.1,0.0
20201111:1911,0.0,0.0,0.0,0.0,0.0,6.36,1.17,0.0
20201111:2011,0.0,0.0,0.0,0.0,0.0,6.33,1.31,0.0
20201111:2111,0.0,0.0,0.0,0.0,0.0,6.35,1.38,0.0
20201111:2211,0.0,0.0,0.0,0.0,0.0,6.45,1.45,0.0
20201111:2311,0.0,0.0,0.0,0.0,0.0,6.53,1.52,0.0
20201112:0011,0.0,0.0,0.0,0.0,0.0,6.69,1.38,0.0
20201112:0111,0.0,0.0,0.0,0.0,0.0,6.83,1.17,0.0
20201112:0211,0.0,0.0,0.0,0.0,0.0,6.96,1.31,0.0
20201112:0311,0.0,0.0,0.0,0.0,0.0,7.06,1.45,0.0
20201112:0411,0.0,0.0,0.0,0.0,0.0,7.22,1.52,0.0
20201112:0511,0.0,0.0,0.0,0.0,0.0,7.35,1.66,0.0
20201112:0611,0.0,0.0,0.0,0.0,0.0,7.55,1.72,0.0
20201112:0711,32.58,0.0,19.0,0.0,5.3,7.85,2.34,0.0
20201112:0811,186.52,1.0,63.0,0.0,11.77,8.09,2.41,0.0
20201112:0911,205.74,0.0,69.0,0.0,16.57,8.46,2.55,0.0
20201112:1011,466.2,7.0,130.0,0.0,19.3,8.96,3.17,0.0
20201112:1111,557.42,16.0,145.0,0.0,19.7,9.35,3.17,0.0
20201112:1211,939.06,206.01,72.0,0.0,17.71,9.84,3.1,0.0
20201112:1311,629.19,149.01,57.0,0.0,13.54,9.88,3.03,0.0
20201112:1411,218.52,58.01,38.0,0.0,7.57,9.75,2.9,0.0
20201112:1511,0.0,0.0,0.0,0.0,0.0,9.12,2.76,0.0
20201112:1611,0.0,0.0,0.0,0.0,0.0,8.63,2.48,0.0
20201112:1711,0.0,0.0,0.0,0.0,0.0,8.6,2.34,0.0
20201112:1811,0.0,0.0,0.0,0.0,0.0,8.8,2.34,0.0
20201112:1911,0.0,0.0,0.0,0.0,0.0,8.77,2.28,0.0
20201112:2011,0.0,0.0,0.0,0.0,0.0,8.96,2.48,0.0
20201112:2111,0.0,0.0,0.0,0.0,0.0,8.89,2.69,0.0
20201112:2211,0.0,0.0,0.0,0.0,0.0,8.37,2.69,0.0
20201112:2311,0.0,0.0,0.0,0.0,0.0,7.87,2.69,0.0
20201113:0011,0.0,0.0,0.0,0.0,0.0,7.57,2.69,0.0
20201113:0111,0.0,0.0,0.0,0.0,0.0,7.17,2.55,0.0
20201113:0211,0.0,0.0,0.0,0.0,0.0,7.17,2.41,0.0
20201113:0311,0.0,0.0,0.0,0.0,0.0,6.95,2.34,0.0
20201113:0411,0.0,0.0,0.0,0.0,0.0,6.91,2.28,0.0
20201113:0511,0.0,0.0,0.0,0.0,0.0,6.96,2.14,0.0
20201113:0611,0.0,0.0,0.0,0.0,0.0,6.96,2.07,0.0
20201113:0711,79.65,13.0,27.72,0.0,5.05,6.18,2.21,0.0
20201113:0811,446.54,88.01,64.0,0.0,11.51,6.98,1.93,0.0
20201113:0911,736.2,116.01,103.0,0.0,16.3,8.07,2.14,0.0
20201113:1011,311.22,0.0,97.0,0.0,19.03,9.27,2.21,0.0
20201113:1111,355.77,1.0,108.0,0.0,19.43,10.09,2.07,0.0
20201113:1211,705.56,77.0,130.0,0.0,17.45,10.65,2.21,0.0
20201113:1311,558.9,108.01,74.0,0.0,13.3,10.85,2.69,0.0
20201113:1411,197.24,43.0,42.0,0.0,7.35,10.51,2.21,0.0
20201113:1511,0.0,0.0,0.0,0.0,0.0,9.51,2.07,0.0
20201113:1611,0.0,0.0,0.0,0.0,0.0,8.22,2.14,0.0
20201113:1711,0.0,0.0,0.0,0.0,0.0,7.4,2.14,0.0
20201113:1811,0.0,0.0,0.0,0.0,0.0,6.71,2.21,0.0
20201113:1911,0.0,0.0,0.0,0.0,0.0,7.49,2.21,0.0
20201113:2011,0.0,0.0,0.0,0.0,0.0,8.06,2.21,0.0
20201113:2111,0.0,0.0,0.0,0.0,0.0,8.44,2.34,0.0
20201113:2211,0.0,0.0,0.0,0.0,0.0,8.98,2.48,0.0
20201113:2311,0.0,0.0,0.0,0.0,0.0,9.25,2.41,0.0
20201114:0011,0.0,0.0,0.0,0.0,0.0,9.58,2.28,0.0
20201114:0111,0.0,0.0,0.0,0.0,0.0,9.81,2.21,0.0
20201114:0211,0.0,0.0,0.0,0.0,0.0,9.89,2.28,0.0
20201114:0311,0.0,0.0,0.0,0.0,0.0,9.75,2.28,0.0
20201114:0411,0.0,0.0,0.0,0.0,0.0,9.41,2.28,0.0
20201114:0511,0.0,0.0,0.0,0.0,0.0,9.25,2.28,0.0
20201114:0611,0.0,0.0,0.0,0.0,0.0,9.24,2.21,0.0
20201114:0711,41.9,1.0,21.81,0.0,4.8,9.42,2.21,0.0
20201114:0811,302.18,20.0,80.0,0.0,11.25,10.1,2.14,0.0
20201114:0911,431.86,15.0,116.0,0.0,16.03,10.92,1.79,0.0
20201114:1011,213.48,0.0,72.0,0.0,18.76,11.65,1.93,0.0
20201114:1111,740.43,69.0,146.0,0.0,19.17,12.56,2.34,0.0
20201114:1211,801.63,148.01,94.0,0.0,17.2,12.69,1.79,0.0
20201114:1311,371.52,23.0,96.0,0.0,13.07,13.15,1.86,0.0
20201114:1411,116.28,4.0,43.0,0.0,7.14,13.01,1.86,0.0
20201114:1511,0.0,0.0,0.0,0.0,0.0,12.02,2.0,0.0
20201114:1611,0.0,0.0,0.0,0.0,0.0,11.23,2.07,0.0
20201114:1711,0.0,0.0,0.0,0.0,0.0,10.67,2.14,0.0
20201114:1811,0.0,0.0,0.0,0.0,0.0,10.36,2.14,0.0
20201114:1911,0.0,0.0,0.0,0.0,0.0,10.39,2.62,0.0
20201114:2011,0.0,0.0,0.0,0.0,0.0,10.34,2.69,0.0
20201114:2111,0.0,0.0,0.0,0.0,0.0,9.94,2.69,0.0
20201114:2211,0.0,0.0,0.0,0.0,0.0,9.62,2.76,0.0
20201114:2311,0.0,0.0,0.0,0.0,0.0,9.32,2.9,0.0
20201115:0011,0.0,0.0,0.0,0.0,0.0,9.13,2.97,0.0
20201115:0111,0.0,0.0,0.0,0.0,0.0,8.88,2.9,0.0
20201115:0211,0.0,0.0,0.0,0.0,0.0,8.7,2.97,0.0
20201115:0311,0.0,0.0,0.0,0.0,0.0,8.52,3.1,0.0
20201115:0411,0.0,0.0,0.0,0.0,0.0,8.45,3.17,0.0
20201115:0511,0.0,0.0,0.0,0.0,0.0,8.55,3.31,0.0
20201115:0611,0.0,0.0,0.0,0.0,0.0,8.63,3.31,0.0
20201115:0711,26.64,0.0,17.0,0.0,4.55,9.04,3.38,0.0
20201115:0811,387.76,66.0,68.0,0.0,10.99,9.82,3.24,0.0
20201115:0911,505.8,32.0,120.0,0.0,15.77,10.96,3.45,0.0
20201115:1011,852.8,131.01,118.0,0.0,18.5,12.1,3.45,0.0
20201115:1111,998.96,216.01,78.0,0.0,18.91,13.03,3.59,0.0
20201115:1211,872.46,202.01,65.0,0.0,16.96,13.72,3.45,0.0
20201115:1311,337.32,17.0,92.0,0.0,12.85,13.81,3.59,0.0
20201115:1411,49.28,0.0,25.0,0.0,6.93,13.47,3.31,0.0
20201115:1511,0.0,0.0,0.0,0.0,0.0,12.33,3.31,0.0
20201115:1611,0.0,0.0,0.0,0.0,0.0,11.13,3.59,0.0
20201115:1711,0.0,0.0,0.0,0.0,0.0,10.41,3.93,0.0
20201115:1811,0.0,0.0,0.0,0.0,0.0,9.92,4.14,0.0
20201115:1911,0.0,0.0,0.0,0.0,0.0,8.85,4.14,0.0
20201115:2011,0.0,0.0,0.0,0.0,0.0,8.31,4.0,0.0
20201115:2111,0.0,0.0,0.0,0.0,0.0,8.07,4.21,0.0
20201115:2211,0.0,0.0,0.0,0.0,0.0,8.01,4.28,0.0
20201115:2311,0.0,0.0,0.0,0.0,0.0,8.02,4.07,0.0
20201116:0011,0.0,0.0,0.0,0.0,0.0,8.23,3.86,0.0
20201116:0111,0.0,0.0,0.0,0.0,0.0,8.54,3.66,0.0
20201116:0211,0.0,0.0,0.0,0.0,0.0,8.81,3.45,0.0
20201116:0311,0.0,0.0,0.0,0.0,0.0,9.03,3.17,0.0
20201116:0411,0.0,0.0,0.0,0.0,0.0,9.46,3.1,0.0
20201116:0511,0.0,0.0,0.0,0.0,0.0,9.55,3.17,0.0
20201116:0611,0.0,0.0,0.0,0.0,0.0,9.55,3.38,0.0
20201116:0711,46.22,3.0,22.34,0.0,4.31,8.21,2.9,0.0
20201116:0811,417.69,104.01,48.0,0.0,10.74,8.85,2.9,0.0
20201116:0911,275.58,1.0,87.0,0.0,15.51,9.88,2.97,0.0
20201116:1011,975.1,216.01,72.0,0.0,18.24,10.85,2.69,0.0
20201116:1111,951.44,186.01,92.0,0.0,18.66,11.58,3.79,0.0
20201116:1211,378.36,6.0,110.0,0.0,16.72,11.76,3.86,0.0
20201116:1311,144.32,0.0,53.0,0.0,12.63,11.82,3.86,0.0
20201116:1411,18.18,0.0,14.0,0.0,6.73,11.49,3.17,0.0
20201116:1511,0.0,0.0,0.0,0.0,0.0,10.89,2.55,0.0
