time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200103:1411,32.94,0.0,19.0,0.0,5.07,6.09,4.55,0.0
20200103:1511,0.0,0.0,0.0,0.0,0.0,6.08,4.55,0.0
20200103:1611,0.0,0.0,0.0,0.0,0.0,6.05,4.69,0.0
20200103:1711,0.0,0.0,0.0,0.0,0.0,6.25,4.83,0.0
20200103:1811,0.0,0.0,0.0,0.0,0.0,6.4,4.76,0.0
20200103:1911,0.0,0.0,0.0,0.0,0.0,6.52,5.03,0.0
20200103:2011,0.0,0.0,0.0,0.0,0.0,6.66,5.17,0.0
20200103:2111,0.0,0.0,0.0,0.0,0.0,6.69,5.1,0.0
20200103:2211,0.0,0.0,0.0,0.0,0.0,6.58,5.1,0.0
20200103:2311,0.0,0.0,0.0,0.0,0.0,5.87,4.83,0.0
20200104:0011,0.0,0.0,0.0,0.0,0.0,4.68,4.62,0.0
20200104:0111,0.0,0.0,0.0,0.0,0.0,3.68,4.69,0.0
20200104:0211,0.0,0.0,0.0,0.0,0.0,3.31,4.69,0.0
20200104:0311,0.0,0.0,0.0,0.0,0.0,3.54,4.76,0.0
20200104:0411,0.0,0.0,0.0,0.0,0.0,3.65,4.83,0.0
20200104:0511,0.0,0.0,0.0,0.0,0.0,3.64,4.9,0.0
20200104:0611,0.0,0.0,0.0,0.0,0.0,3.68,5.17,0.0
20200104:0711,0.0,0.0,0.0,0.0,0.0,3.81,5.17,0.0
20200104:0811,2.56,0.0,7.0,0.0,5.16,3.86,5.59,0.0
20200104:0911,214.02,4.0,67.0,0.0,10.33,4.15,5.93,0.0
20200104:1011,106.24,0.0,41.0,0.0,13.62,4.56,6.34,0.0
20200104:1111,81.68,0.0,34.0,0.0,14.75,4.72,6.62,0.0
20200104:1211,191.34,0.0,64.0,0.0,13.63,4.46,6.69,0.0
20200104:1311,159.98,1.0,55.0,0.0,10.35,4.63,6.76,0.0
20200104:1411,85.1,40.01,16.5,0.0,5.2,5.15,7.45,0.0
20200104:1511,0.0,0.0,0.0,0.0,0.0,4.83,7.52,0.0
20200104:1611,0.0,0.0,0.0,0.0,0.0,3.93,6.07,0.0
20200104:1711,0.0,0.0,0.0,0.0,0.0,3.08,5.52,0.0
20200104:1811,0.0,0.0,0.0,0.0,0.0,2.65,5.45,0.0
20200104:1911,0.0,0.0,0.0,0.0,0.0,2.78,5.52,0.0
20200104:2011,0.0,0.0,0.0,0.0,0.0,2.68,5.17,0.0
20200104:2111,0.0,0.0,0.0,0.0,0.0,2.4,4.9,0.0
20200104:2211,0.0,0.0,0.0,0.0,0.0,2.1,4.62,0.0
20200104:2311,0.0,0.0,0.0,0.0,0.0,1.67,4.41,0.0
20200105:0011,0.0,0.0,0.0,0.0,0.0,1.22,4.28,0.0
20200105:0111,0.0,0.0,0.0,0.0,0.0,0.86,4.07,0.0
20200105:0211,0.0,0.0,0.0,0.0,0.0,0.4,3.86,0.0
20200105:0311,0.0,0.0,0.0,0.0,0.0,0.04,3.52,0.0
20200105:0411,0.0,0.0,0.0,0.0,0.0,-0.29,3.17,0.0
20200105:0511,0.0,0.0,0.0,0.0,0.0,-0.63,2.9,0.0
20200105:0611,0.0,0.0,0.0,0.0,0.0,-1.04,2.55,0.0
20200105:0711,0.0,0.0,0.0,0.0,0.0,-1.48,2.41,0.0
20200105:0811,90.94,32.0,21.02,0.0,5.22,-1.5,2.41,0.0
20200105:0911,421.96,90.01,56.0,0.0,10.4,-0.25,2.07,0.0
20200105:1011,519.39,47.0,107.0,0.0,13.71,1.29,2.14,0.0
20200105:1111,542.66,40.0,118.0,0.0,14.86,2.45,2.48,0.0
20200105:1211,332.28,6.0,95.0,0.0,13.76,3.11,2.41,0.0
20200105:1311,261.99,10.0,75.0,0.0,10.49,3.38,1.86,0.0
20200105:1411,62.78,1.0,27.79,0.0,5.34,3.25,1.72,0.0
20200105:1511,0.0,0.0,0.0,0.0,0.0,2.79,2.0,0.0
20200105:1611,0.0,0.0,0.0,0.0,0.0,2.37,2.14,0.0
20200105:1711,0.0,0.0,0.0,0.0,0.0,2.05,2.34,0.0
20200105:1811,0.0,0.0,0.0,0.0,0.0,2.21,2.41,0.0
20200105:1911,0.0,0.0,0.0,0.0,0.0,2.32,2.55,0.0
20200105:2011,0.0,0.0,0.0,0.0,0.0,2.58,2.69,0.0
20200105:2111,0.0,0.0,0.0,0.0,0.0,2.83,2.83,0.0
20200105:2211,0.0,0.0,0.0,0.0,0.0,3.07,2.83,0.0
20200105:2311,0.0,0.0,0.0,0.0,0.0,3.27,2.76,0.0
20200106:0011,0.0,0.0,0.0,0.0,0.0,3.28,2.62,0.0
20200106:0111,0.0,0.0,0.0,0.0,0.0,3.32,2.83,0.0
20200106:0211,0.0,0.0,0.0,0.0,0.0,3.45,3.03,0.0
20200106:0311,0.0,0.0,0.0,0.0,0.0,3.6,3.1,0.0
20200106:0411,0.0,0.0,0.0,0.0,0.0,3.33,2.83,0.0
20200106:0511,0.0,0.0,0.0,0.0,0.0,3.24,2.76,0.0
20200106:0611,0.0,0.0,0.0,0.0,0.0,3.23,2.76,0.0
20200106:0711,0.0,0.0,0.0,0.0,0.0,3.53,3.03,0.0
